RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,PK3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device or Header,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Stack Snapshot,Runtime BPs,SW BPs,PTG Support,App IO,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,Instruction Trace,PC Profiling,PC Sampling,FLP,Jump Trace
PIC16F1455 using AC244053,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1459,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1459 using AC244053,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1503,0,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1503 using AC244051,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1507,0,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1507 using AC244051,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC16F1508,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1508 using AC244051,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1509,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1509 using AC244051,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1512,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1513,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1516,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1517,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1518,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1519,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1526,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1527,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F15313,1,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15323,1,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15324,1,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F15325,3,1,R/W,0,No,N/A,No,Yes,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
