ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5
Device,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Runtime BPs,SW BPs,Live Connect,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,ITM/SWO,PIC32 Instruction Trace,PC Profiling,PC Sampling
ATSAMC20J15A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20J16A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20J17A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20J17AU,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20J18A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20J18AU,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20N17A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20N18A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC21E15A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC21E16A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
